,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
5287,11X287,THE FORWARD SCHOOL,2015,73,264.0,56.0,16.0,0.0,1.0
5300,11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,2015,111,269.0,77.0,29.0,4.0,1.0
5312,11X326,BRONX GREEN MIDDLE SCHOOL,2015,95,267.0,72.0,23.0,0.0,0.0
5330,11X370,SCHOOL OF DIPLOMACY,2015,81,281.0,40.0,36.0,5.0,0.0
5342,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),2015,81,283.0,51.0,18.0,11.0,1.0
5354,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,2015,92,287.0,41.0,39.0,10.0,2.0
5374,11X498,PS/MS 11X498 - VAN NEST ACADEMY,2015,79,295.0,30.0,35.0,10.0,4.0
5385,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,2015,121,286.0,54.0,54.0,12.0,1.0
5395,11X532,BAYCHESTER MIDDLE SCHOOL,2015,109,283.0,51.0,46.0,10.0,2.0
5404,11X556,BRONX PARK MIDDLE SCHOOL,2015,130,280.0,75.0,47.0,7.0,1.0
5413,11X566,PELHAM GARDENS MIDDLE SCHOOL,2015,148,287.0,60.0,70.0,15.0,3.0
5532,12X098,J.H.S. 098 HERMAN RIDDER,2015,101,283.0,43.0,48.0,8.0,2.0
5544,12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,2015,145,279.0,82.0,54.0,8.0,1.0
5580,12X190,E.S.M.T- I.S. 190,2015,80,288.0,40.0,28.0,11.0,1.0
5624,12X211,P.S. 211,2015,76,303.0,22.0,27.0,18.0,9.0
5639,12X212,P.S. 212,2015,62,300.0,14.0,37.0,10.0,1.0
5660,12X214,P.S. 214,2015,118,271.0,78.0,36.0,4.0,0.0
5672,12X217,SCHOOL OF PERFORMING ARTS,2015,111,268.0,74.0,31.0,5.0,1.0
5684,12X242,MOTT HALL V,2015,99,284.0,50.0,34.0,9.0,6.0
5696,12X267,BRONX LATIN,2015,45,277.0,27.0,17.0,1.0,0.0
5708,12X271,EAST BRONX ACADEMY FOR THE FUTURE,2015,79,288.0,33.0,41.0,2.0,3.0
5720,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,2015,76,277.0,46.0,27.0,3.0,0.0
5733,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,2015,79,286.0,38.0,31.0,7.0,3.0
5759,12X316,KAPPA III,2015,102,296.0,40.0,44.0,10.0,8.0
5771,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",2015,102,288.0,42.0,45.0,9.0,6.0
5783,12X341,ACCION ACADEMY,2015,38,281.0,21.0,13.0,4.0,0.0
5795,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,2015,63,297.0,20.0,29.0,11.0,3.0
5807,12X383,EMOLIOR ACADEMY,2015,75,295.0,34.0,20.0,14.0,7.0
5819,12X384,ENTRADA ACADEMY,2015,91,271.0,61.0,24.0,5.0,1.0
5891,13K008,P.S. 008 ROBERT FULTON,2015,30,306.0,8.0,12.0,7.0,3.0
6012,13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,2015,135,263.0,108.0,27.0,0.0,0.0
6050,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2015,31,278.0,19.0,10.0,2.0,0.0
6063,13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,2015,42,284.0,22.0,18.0,1.0,1.0
6097,13K282,P.S. 282 PARK SLOPE,2015,65,277.0,41.0,22.0,2.0,0.0
6122,13K301,SATELLITE EAST MIDDLE SCHOOL,2015,45,250.0,41.0,3.0,1.0,0.0
6159,13K313,SATELLITE WEST MIDDLE SCHOOL,2015,37,279.0,21.0,12.0,4.0,0.0
6168,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,2015,76,272.0,54.0,20.0,1.0,1.0
6183,13K492,ACADEMY OF ARTS AND LETTERS,2015,8,295.0,4.0,1.0,3.0,0.0
6195,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,2015,47,298.0,12.0,30.0,3.0,2.0
6208,13K596,MS 596 PEACE ACADEMY,2015,17,280.0,8.0,7.0,2.0,0.0
6220,13K691,FORT GREENE PREPARATORY ACADEMY,2015,74,279.0,45.0,22.0,6.0,1.0
6315,14K050,J.H.S. 050 JOHN D. WELLS,2015,87,277.0,49.0,35.0,3.0,0.0
6339,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2015,75,263.0,59.0,15.0,1.0,0.0
